,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
154,Lithuania,,440,B,52.9,53.0,53.1,53.2,56.7,57.7,58.4
155,Norway,17,578,B,48.3,49.8,50.5,51.1,49.0,47.8,47.8
156,Sweden,,752,B,51.4,51.8,52.2,52.2,51.5,50.9,50.6
157,United Kingdom,,826,B,51.9,52.4,52.9,52.4,51.8,52.2,52.4
158,Southern Europe,,925,,52.5,52.3,52.0,51.3,51.4,53.0,53.1
159,Albania,,8,B,53.7,53.4,53.1,49.0,49.0,49.0,49.1
160,Andorra,,20,C,46.5,47.1,47.6,47.2,47.2,47.2,47.5
161,Bosnia and Herzegovina,,70,I R,52.6,52.3,52.2,52.5,52.3,52.3,52.3
162,Croatia,,191,B R,53.2,53.2,53.0,53.1,53.2,53.6,53.7
163,Gibraltar,,292,B,48.0,49.9,52.0,50.9,50.1,49.5,49.5
164,Greece,,300,B,46.6,48.1,49.6,50.6,51.5,54.1,54.5
165,Holy See,18,336,I,51.2,51.5,51.8,52.3,52.8,53.3,53.4
166,Italy,,380,B,55.0,54.4,54.0,54.0,54.0,54.6,54.4
167,Malta,,470,B,53.5,52.8,52.2,51.6,48.1,46.6,46.6
168,Montenegro,,499,B,..,..,..,..,59.7,59.4,60.8
169,Portugal,,620,B,51.8,51.3,50.8,51.1,51.3,53.9,53.3
170,San Marino,,674,C,47.8,47.0,46.2,45.4,44.6,44.6,44.6
171,Serbia,19,688,B,52.9,54.1,55.2,55.8,55.9,56.0,56.0
172,Slovenia,,705,B,49.7,48.3,47.1,45.7,44.3,43.4,43.6
173,Spain,20,724,B,52.5,51.1,49.4,47.9,48.4,51.0,51.4
